Service Domain,Version,Request URL,"HTTP 
Method",Short Discription,Header,,Query Parameter,,Request Body,,Response Body,,,,Status Code,담당자,완료 상태
Recruitment & Application,V1,api/v1/recruitment-bookmarks/{bookmark_id},DELETE,"스터디 그룹 모집 공고 북마크 삭제 API

(토글 방식)","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": ""북마크가 취소되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 북마크 내역을 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/recruitment-tags,POST,공고 태그 등록 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,"{
    ""name"": {
        type: str,
        required: True
    }
}","{
    ""name"": ""python""
}","201: {
    ""detail"": str
}","201: {
   ""detail"": ""태그가 정상적으로 등록되었습니다.""
}","401: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}
409: {
  ""error_detail"": ""이미 존재하는 태그입니다.""
}","{
    200: Ok,
    401: Unauthorized,
409: Conflict
}",,대기중
Recruitment & Application,V1,api/v1/recruitment-tags,GET,사용 가능한 공고 태그 목록 조회 API,,,"{
  ""page"": {
    ""type"": ""int"",
    ""required"": false
  },
  ""page_size"": {
    ""type"": ""int"",
    ""required"": false
  },
  ""search"": {
    ""type"": ""str"",
    ""required"": false
  },
  ""exact"": {
    ""type"": ""str"",
    ""required"": false
  }
}","{
    ""page"": 1,
    ""page_size"": 10,
    ""search"": ""py"",
  ""exact"": ""python""
}",,,"200: {
    ""count"": int,
    ""next"": null | str,
    ""previous"": null | str,
    ""results"": [
        {
            ""id"": int,
            ""name"": str,
        }
    ]
}","200: {
    ""count"": 100,
    ""next"": ""http://api.ozcoding.site/api/v1/recruitments-tags/page=2&page_size=10"",
    ""previous"": null,
    ""results"": [
        {
            ""id"": 1,
            ""name"": ""python""
        }
    ]
}","400: {
    ""error_detail"": str
}","400: {
  ""error_detail"": ""요청한 페이지를 찾을 수 없습니다.""
}
","{
    200: Ok,
400: Bad Request
}",,대기중
Recruitment & Application,V1,api/v1/admin/recruitments,GET,"(Admin Page)
 스터디 모집 공고 목록 조회 API","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}","{
    ""page"": {
        type: int,
        required: False,
    },
    ""page_size"": {
        type: int,
        required: False,
    }
    ""search"": {
        type: str,
        required: False,
    },
    ""sort"": {
        type: enum(
            ""latest"",
            ""oldest"",
            ""most_views"",
            ""most_bookmarks""
        ),
        required: False,
    },
    ""tags"": {
        type: list[str],
        required: False
    },
    ""is_closed"": {
        type: bool,
        required: False
    }
}","{
    ""page"": 1,
    ""page_size"": 10,
    ""search"": ""test"",
    ""sort"": ""latest""
    ""tags"": [""tag1"", ""tag2""],
    ""is_closed"": false
}",,,"200: {
    ""count"": int,
    ""next"": null | str,
    ""previous"": null | str,
    ""results"": [
        {
            ""id"": int,
            ""title"": str,
            ""tags"": [
                {
                    ""id"": int,
                    ""name"": str
                }
            ],
            ""close_at"": datetime,
            ""is_closed"": bool,
            ""views_count"": int,
            ""bookmark_count"": int,
            ""created_at"": datetime,
            ""updated_at"": datetime
        }
    ]
}","200: {
  ""count"": 100,
  ""next"": ""http://api.ozcoding.site/api/v1/admin/recruitments?page=2&page_size=10"",
  ""previous"": null,
  ""results"": [
    {
      ""id"": 1,
      ""title"": ""파이썬 스터디 모집 공고"",
      ""tags"": [
        {
          ""id"": 1,
          ""name"": ""python""
        }
      ],
      ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
      ""is_closed"": false,
      ""views_count"": 213,
      ""bookmark_count"": 100,
      ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
      ""updated_at"": ""2025-11-20T00:00:05.875845+09:00""
    }
  ]
}
","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
}",,대기중
Recruitment & Application,V1,api/v1/admin/recruitments/{recruitment_id},GET,"(Admin Page)
 스터디 모집 공고 상세 조회 API","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
  ""id"": ""int"",
  ""uuid"": ""uuid"",
  ""title"": ""str"",
  ""content"": ""str"",
  ""expected_headcount"": ""int"",
   ""estimated_fee"": int,
  ""close_at"": ""datetime"",
  ""is_closed"": ""bool"",
  ""views_count"": ""int"",
  ""bookmark_count"": ""int"",
  ""created_at"": ""datetime"",
  ""updated_at"": ""datetime"",
  ""lectures"": [
    {
      ""id"": ""int"",
      ""title"": ""str"",
      ""instructor"": ""str"",
      ""thumbnail_img_url"": ""str"",
      ""url_link"": ""str""
    }
  ],
  ""tags"": [
    {
      ""id"": ""int"",
      ""name"": ""str""
    }
  ],
  ""files"": [
    {
      ""id"": ""int"",
      ""file_name"": ""str"",
      ""file_url"": ""str""
    }
  ],
  ""applications"": [
    {
      ""id"": ""int"",
      ""applicant"": {
        ""id"": ""int"",
        ""nickname"": ""str"",
        ""email"": ""str""
      },
      ""status"": ""enum('PENDING', 'ACCEPTED', 'REJECTED', 'CANCELED')"",
      ""created_at"": ""datetime""
    }
  ]
}
","200: {
  ""id"": 1,
  ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
  ""title"": ""python 스터디 모집중"",
  ""content"": ""파이썬 잘하는 분 구해요."",
  ""expected_headcount"": 5,
  ""estimated_fee"": 100000,
  ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
  ""is_closed"": false,
  ""views_count"": 1231,
  ""bookmark_count"": 11,
  ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
  ""updated_at"": ""2025-11-20T00:00:05.875845+09:00"",
  ""lectures"": [
    {
      ""id"": 2,
      ""title"": ""김한영의 파이썬"",
      ""instructor"": ""김한영"",
      ""thumbnail_img_url"": ""https://example.com/uploads/lectures/images/image.png"",
      ""url_link"": ""https://example.com/lectures/2""
    }
  ],
  ""tags"": [
    {
      ""id"": 1,
      ""name"": ""python""
    }
  ],
  ""files"": [
    {
      ""id"": 1,
      ""file_name"": ""summary.md"",
      ""file_url"": ""https://example.com/uploads/files/recruitments/summary.md""
    }
  ],
  ""applications"": [
    {
      ""id"": 1,
      ""applicant"": {
        ""id"": 1,
        ""nickname"": ""testuser"",
        ""email"": ""user@example.com""
      },
      ""status"": ""ACCEPTED"",
      ""created_at"": ""2025-11-20T00:00:05.875842+09:00""
    }
  ]
}
","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/admin/recruitments/{recruitment_id},DELETE,"(Admin Page)
 스터디 모집 공고 삭제 API","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": ""공고가 삭제되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/recruitments/{recruitment_uuid}/applications,POST,스터디 모집 공고 지원 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,"{
  ""objective"": { ""type"": ""str"", ""required"": true },
  ""motivation"": { ""type"": ""str"", ""required"": true },
  ""self_introduction"": { ""type"": ""str"", ""required"": true },
  ""available_time"": { ""type"": ""str"", ""required"": true },
  ""has_study_experience"": { ""type"": ""bool"", ""required"": true },
  ""study_experience"": { ""type"": ""str"", ""required"": false }
}
","{
    ""objective"": ""파이썬 라이브러리 컨트리뷰터가 되고싶어요."",
    ""motivation"": ""파이썬 독학으로 마스터해보고 싶어요."",
    ""self_introduction"": ""나는 홍길동입니다."",
    ""available_time"": ""10:00 ~ 11:00"",
    ""has_study_experience"": True,
    ""study_experience"": ""DBA 자격증 스터디 경험 있습니다.""
}","200: {
    ""detail"": str
}","200: {
    ""detail"": ""스터디 공고에 지원 신청이 완료되었습니다.""
}","401: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}

409: {
    ""error_detail"": ""해당 공고에 이미 지원한 내역이 존재합니다.""
}","{
    200: Ok,
    401: Unauthorized,
    404: Not Found,
    409: Conflict
}",,대기중
Recruitment & Application,V1,api/v1/recruitments/{recruitment_uuid}/applications,GET,스터디 모집 공고 작성자의 지원내역 목록 조회 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""cursor"": { ""type"": ""str"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false }
}","{
  ""cursor"": ""encoded-cursor-value"",
  ""page_size"": 10
}
",,,"200: {
    ""next"": null | str,
    ""previous"": null | str,
    ""results"": [
        {
            ""id"": int,
            ""applicant"": {
                ""id"": int,
                ""nickname"": str,
                ""gender"": enum(""MALE"", ""FEMALE""),
                ""profile_img_url"": str,
            },
            ""available_time"": str,
            ""has_study_experience"": bool,
            ""status"": enum(
                ""PENDING"",
                ""ACCEPTED"",
                ""REJECTED"",
                ""CANCELED""
            ),
            ""created_at"": datetime
        }
    ]
}","200: {
    ""next"": ""http://api.ozcoding.site/api/v1/recruitments/b8dbd77f-cf73-4ef4-9914-4394d5ab366e/applications?cursor=asbasd12341asdasb"",
    ""previous"": null,
    ""results"": [
        {
            ""id"": 1,
            ""applicant"": {
                ""id"": 1,
                ""nickname"": ""testuser"",
                ""gender"": ""MALE"",
                ""profile_img_url"": ""https://example.com/images/users/profiles/image.png""
            },
            ""available_time"": ""10:00 ~ 11:00"",
            ""has_study_experience"": True,
            ""status"": ""PENDING"",
            ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
        }
    ]
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}


404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/applications/mine,GET,내 스터디 모집 공고 지원내역 목록 조회 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""cursor"": { ""type"": ""str"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false }
}
","{
    ""cursor"": ""encoded cursor value"",
    ""page_size"": 10
}",,,"200: {
    ""next"": null | str,
    ""previous"": null | str,
    ""results"": [
        {
            ""id"": int,
            ""status"": enum(
                ""PENDING"",
                ""ACCEPTED"",
                ""REJECTED"",
                ""CANCELED""
            ),
            ""recruitment"": {
                ""uuid"": str,
                ""title"": str,
                ""expected_headcount"": int,
                ""thumbnail_img_url"": str | null,
                ""close_at"": datetime,
                ""end_at"": datetime,
                ""lectures"": [
                    {
                        ""id"": int,
                        ""title"": str,
                        ""instructor"": str,
                    }       
                ],
                ""tags"": [
                    {
                        ""id"": int,
                        ""name"": str
                    }        
                ]
            },
            ""created_at"": datetime,
        }
    ]
}","200: {
    ""next"": ""http://api.ozcoding.site/api/v1/recruitments/b8dbd77f-cf73-4ef4-9914-4394d5ab366e/applications/mine?cursor=asbasd12341asdasb"",
    ""previous"": null,
    ""results"": [
        {
            ""id"": 1,
            ""status"": ""PENDING"",
            ""recruitment"": {
                ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
                ""title"": ""파이썬 스터디 모집 공고"",
                ""expected_headcount"": 10,
                ""thumbnail_img_url"" : ""https://example.com/uploads/lectures/images/image.png"",
                ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
                ""end_at"": 2025-11-19T00:00:05.875842+09:00"",
                ""lectures"": [
                    {
                        ""id"": 1,
                        ""title"": ""김한영의 파이썬"",
                        ""instructor"": ""김한영""
                    }
                ],
                ""tags"": [
                    {
                        ""id"": 1,
                        ""name"": ""python""
                    }
                ]
            },
            ""created_at"": ""2025-11-20T00:00:05.875842+09:00""
        }
    ]
}","401: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}","{
    200: Ok,
    401: Unauthorized
}",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}",GET,지원자의 스터디 모집 공고 지원내역 상세 조회 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""id"": int,
    ""self_introduction"": str,
    ""motivation"": str,
    ""objective"": str,
    ""available_time"": str,
    ""has_study_experience"": bool,
    ""study_experience"": str,
    ""status"": enum(
        ""PENDING"",
        ""ACCEPTED"",
        ""REJECTED"",
        ""CANCELED""
    ),
    ""created_at"": datetime,
    ""updated_at"": datetime,
     ""recruitment"": {
        ""uuid"": str,
        ""title"": str
    }
}
 ","200: {
    ""id"": 1,
    ""self_introduction"": ""나는 홍길동입니다."",
    ""motivation"": ""파이썬 독학으로 마스터해보고 싶어요."",
    ""objective"": ""파이썬 라이브러리 컨트리뷰터가 되고싶어요."",
    ""available_time"": ""10:00 ~ 11:00"",
    ""has_study_experience"": True,
    ""study_experience"": ""DBA 자격증 스터디 경험 있습니다."",
    ""status"": ""PENDING"",
    ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""updated_at"": ""2025-11-20T00:00:05.875845+09:00""
    ""recruitment"": {
      ""uuid"": ""b8dbdbdsdb32"",
      ""title"": ""파이썬 스터디 모집""
   }

}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}


404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}/review",GET,공고 작성자의 스터디 모집 공고 지원내역 상세 조회 및 검토 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"{
    ""id"": int,
    ""applicant"": {
        ""id"": int,
        ""nickname"": str,
        ""gender"": enum(""MALE"", ""FEMALE""),
        ""profile_img_url"": str,
    },
    ""self_introduction"": str,
    ""motivation"": str,
    ""objective"": str,
    ""available_time"": str,
    ""has_study_experience"": bool,
    ""study_experience"": str,
    ""status"": enum(
        ""PENDING"",
        ""ACCEPTED"",
        ""REJECTED"",
    ),
    ""created_at"": datetime,
    ""updated_at"": datetime,
    ""recruitment"": {
          ""uuid"": str,
          ""title"": str
   }
}","200: {
    ""id"": 1,
    ""applicant"": {
        ""id"": 1,
        ""nickname"": ""testuser"",
        ""gender"": ""MALE"",
        ""profile_img_url"": ""https://example.com/images/users/profiles/image.png""
    }
    ""self_introduction"": ""나는 홍길동입니다."",
    ""motivation"": ""파이썬 독학으로 마스터해보고 싶어요."",
    ""objective"": ""파이썬 라이브러리 컨트리뷰터가 되고싶어요."",
    ""available_time"": ""10:00 ~ 11:00"",
    ""has_study_experience"": True,
    ""study_experience"": ""DBA 자격증 스터디 경험 있습니다."",
    ""status"": ""PENDING"",
    ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""updated_at"": ""2025-11-20T00:00:05.875845+09:00""
     ""recruitment"": {
           ""uuid"": b8werwqer2,
           ""title"": ""파이썬 스터디 모집""
     }
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}


404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}",DELETE,스터디 모집 공고 지원내역 삭제(지원취소) API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": ""지원 내역이 삭제되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}","{
  200: ""OK"",
  401: ""Unauthorized"",
  403: ""Forbidden"",
  404: ""Not Found""
}
",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}/cancel",POST,"스터디 모집 공고 지원내역 취소 API
(상태를 CANCELED로 변경)","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": 지원 내역이 취소되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}

409: {
    ""error_detail"": ""해당 공고에 이미 지원한 내역이 존재합니다.""
}","{
  ""200"": ""OK"",
  ""401"": ""Unauthorized"",
  ""403"": ""Forbidden"",
  ""404"": ""Not Found"",
  ""409"": ""Conflict""
}
",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}/accept",POST,스터디 모집 공고 지원내역 승인 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": 지원 내역이 승인되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}

409: {
    ""error_detail"": [
        ""이미 승인된 지원내역입니다."",
        ""이미 거절된 지원내역입니다."",
        ""모집 인원이 초과하여 승인할 수 없습니다.""
    ]
}","{
  ""200"": ""OK"",
  ""401"": ""Unauthorized"",
  ""403"": ""Forbidden"",
  ""404"": ""Not Found"",
  ""409"": ""Conflict""
}
",,대기중
Recruitment & Application,V1,"api/v1/applications/
{application_id}/reject",POST,스터디 모집 공고 지원내역 거절 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": ""지원 내역이 반려되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}

409: {
    ""error_detail"": [
        ""이미 승인된 지원내역은 거절할 수 없습니다."",
        ""이미 거절된 지원내역입니다.""
    ]
}
","{
  ""200"": ""OK"",
  ""401"": ""Unauthorized"",
  ""403"": ""Forbidden"",
  ""404"": ""Not Found"",
  ""409"": ""Conflict""
}
",,대기중
Recruitment & Application,V1,api/v1/admin/applications,GET,"(Admin Page)
스터디 모집 공고 지원내역 목록 조회 API","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""page"": ""int (optional)"",
  ""page_size"": ""int (optional)"",
  ""status"": enum(
      ""PENDING"", 
      ""ACCEPTED"", 
      ""REJECTED"" ,
      ""CANCELED"",
  ""recruitment_title"": ""str (optional)"",
  ""applicant_nickname"": ""str (optional)"",
  ""applicant_email"": ""str (optional)""
  ""sort"": {
         type: enum(
                    ""latest"",
                    ""oldest""
                 )
        }
}
","{
  ""page"": 1,
  ""page_size"": 10,
  ""status"": ""PENDING"",
  ""recruitment_title"": ""파이썬"",
  ""applicant_nickname"": ""sunny"",
  ""applicant_email"": ""sunny@example.com"",
  ""sort"": ""latest""
}
",,,"200: {
  ""count"": ""int"",
  ""next"": ""str/null"",
  ""previous"": ""str/null"",
  ""results"": [
    {
      ""application_id"": ""int"",
      ""recruitment"": {
        ""id"": ""int"",
        ""title"": ""str""
      },
      ""applicant"": {
        ""nickname"": ""str"",
        ""email"": ""str""
      },
      ""status"": enum(
""PENDING""  
""ACCEPTED"" 
""REJECTED"" 
 ""CANCELED""
),
      ""applied_at"": ""datetime"",
      ""updated_at"": ""datetime""
    }
  ]
}
","200: {
    ""count"": 23,
    ""next"": ""http://api.ozcoding.site/api/v1/admin/applications?page=2&page_size=10"",
    ""previous"": null,
    ""results"": [
        {
            ""application_id"": 1,
            ""recruitment"": {
                ""id"": 1,
                ""title"": ""파이썬 스터디 모집합니다.""
            },
            ""applicant"": {
                ""id"": 1,
                ""nickname"": ""testuser"",
                ""email"": ""user@example.com""
            },
            ""status"": ""PENDING"",
            ""applied_at"": ""2025-11-20T00:00:05.875842+09:00"",
            ""updated_at"": ""2025-11-20T00:00:05.875845+09:00""
        }
    ]
}
","400: {
    ""error_detail"": str
}

401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","400: {
    ""error_detail"": ""Page 값이 유효하지 않습니다.""
}

401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""접근 권한이 없습니다.""
}

404: {
    ""error_detail"": ""요청한 페이지를 찾을 수 없습니다.""
}","{
  ""200"": ""OK"",
  ""400"": ""Bad Request"",
  ""401"": ""Unauthorized"",
  ""403"": ""Forbidden"",
  ""404"": ""Not Found""
}
",,대기중
Recruitment & Application,V1,"api/v1/admin/applications
/{application_id}",GET,"(Admin Page)
스터디 모집 공고 지원내역 상세 조회 API","{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""id"": ""int"",
    ""self_introduction"": ""str"",
    ""motivation"": ""str"",
    ""objective"": ""str"",
    ""available_time"": ""str"",
    ""has_study_experience"": ""bool"",
    ""study_experience"": ""str | null"",
    ""status"": ""enum('PENDING', 'ACCEPTED', 'REJECTED', 'CANCELED')"",

    ""recruitment"": {
        ""id"": ""int"",
        ""title"": ""str"",
        ""expected_headcount"": ""int"",
        ""close_at"": ""datetime"",
        ""lectures"": [
            {
                ""id"": ""int"",
                ""title"": ""str"",
                ""instructor"": ""str""
            }
        ],
        ""tags"": [
            {
                ""id"": ""int"",
                ""name"": ""str""
            }
        ]
    },

    ""applicant"": {
        ""id"": ""int"",
        ""nickname"": ""str"",
        ""email"": ""str"",
""gender"": ""enum('MALE', 'FEMALE'),
        ""profile_img_url"": ""str | null""
    },

    ""created_at"": ""datetime"",
    ""updated_at"": ""datetime""
}
","200: {
    ""id"": 1,
    ""self_introduction"": ""나는 홍길동입니다."",
    ""motivation"": ""파이썬 독학으로 마스터해보고 싶어요."",
    ""objective"": ""파이썬 라이브러리 컨트리뷰터가 되고싶어요."",
    ""available_time"": ""10:00 ~ 11:00"",
    ""has_study_experience"": true,
    ""study_experience"": ""DBA 자격증 스터디 경험 있습니다."",
    ""status"": ""PENDING"",
    ""recruitment"": {
        ""id"": 1,
        ""title"": ""파이썬 스터디 모집합니다."",
        ""expected_headcount"": 10,
        ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
        ""lectures"": [
            {
                ""id"": 1,
                ""title"": ""김한영의 파이썬"",
                ""instructor"": ""김한영""
            }
        ],
        ""tags"": [
            {
                ""id"": 1,
                ""name"": ""python""
            }
        ]
    },
    ""applicant"": {
        ""id"": 1,
        ""nickname"": ""testuser"",
        ""email"": ""user@example.com"",
""gender"": ""MALE"",
        ""profile_img_url"": ""https://example.com/images/users/profiles/image.png""
    },
    ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""updated_at"": ""2025-11-20T00:00:05.875845+09:00""
}
","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 지원내역을 찾을 수 없습니다.""
}","{
    ""200"": ""Ok"",
    ""401"": ""Unauthorized"",
    ""403"": ""Forbidden"",
    ""404"": ""Not Found""
}
",,대기중
